time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1935,10987,195.5136,3,-2.831151e-06,1.174406e-05,-0.672991031965007,195.514044547472,3.00720611434258,-0.000308856560262033,0.00066197754792695,0.00720611560113115,-0.000306025409262033,187.863600000031,3.00002165830515,-2.831151e-06,1.17334065934019e-05,190.721033382082,3.00808535254523,-0.000170189426624547,-0.000901152380763804,0.00807178406542472,-0.000167358275624547
1936,10996,195.6773,3,-8.820084e-07,1.204337e-05,-0.668334066623464,195.675972766028,3.00715226962014,-0.000302154326781199,0.000678358004674707,0.00715226844950219,-0.000301272318381199,188.027300000003,3.00000674736426,-8.820084e-07,1.20324505494457e-05,190.882961910772,3.00805236270214,-0.000179061277301735,-0.000873162068385639,0.00804813405566646,-0.000178179268901735
1937,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.66789160793652,195.837920389294,3.00709909214796,-0.000295291011620679,0.000694194235704556,0.00709909214796012,-0.000295291011620679,188.1,3,-2.168404e-20,1.21653406593346e-05,191.044909845208,3.00801887343959,-0.000187652160950129,-0.000844963276711989,0.00801887343959296,-0.000187652160950129
1938,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.670970980910286,195.999887373641,3.00704661691403,-0.000288272036267855,0.000709490743113079,0.0070466169140273,-0.000288272036267855,188.1,3,-2.168404e-20,1.21653406593346e-05,191.206877141719,3.00798491856071,-0.000195960103603179,-0.000816578120387243,0.00798491856071015,-0.000195960103603179
1939,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.674475154335617,196.161873675554,3.00699487818912,-0.000281102907390007,0.000724211905436519,0.00699487818911937,-0.000281102907390007,188.1,3,-2.168404e-20,1.21653406593346e-05,191.368863756718,3.00795053155574,-0.000203983342869692,-0.000788025980316626,0.00795053155573688,-0.000203983342869692
1940,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.678364738682696,196.323879251633,3.0069439074806,-0.000273789837669448,0.0007382578292987,0.00694390748059925,-0.000273789837669448,188.1,3,-2.168404e-20,1.21653406593346e-05,191.530869646707,3.007915746137,-0.000211720286897414,-0.000759321859398565,0.00791574613700208,-0.000211720286897414
1941,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.682596227842275,196.485904058584,3.00689373210532,-0.00026634013912792,0.000751522604388731,0.00689373210532329,-0.00026634013912792,188.1,3,-2.168404e-20,1.21653406593346e-05,191.692894768266,3.00788059655578,-0.000219169484193936,-0.000730479690207191,0.00788059655578399,-0.000219169484193936
1942,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.687134325622645,196.647948053215,3.00684437579217,-0.000258762025607925,0.000763929755898495,0.00684437579216635,-0.000258762025607925,188.1,3,-2.168404e-20,1.21653406593346e-05,191.854939078052,3.00784511741151,-0.000226329631156926,-0.000701515182999262,0.00784511741150729,-0.000226329631156926
1943,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.691948918233888,196.810011192429,3.00679585991967,-0.000251064370320762,0.000775422553942254,0.00679585991966691,-0.000251064370320762,188.1,3,-2.168404e-20,1.21653406593346e-05,192.017002532791,3.0078093432552,-0.000233199591545153,-0.000672446107469419,0.00780934325519933,-0.000233199591545153
1944,11000,195.75,3,-2.168404e-20,1.21764e-05,-0.697013059206868,196.972093433215,3.00674820476648,-0.000243256544599449,0.000785957241230155,0.00674820476647842,-0.000243256544599449,188.1,3,-2.168404e-20,1.21653406593346e-05,192.179085089284,3.00777330815727,-0.000239778416276886,-0.000643292047808095,0.00777330815726662,-0.000239778416276886
